,ticker,date,time,source,headline,Negative,Neutral,Positive,Overall
0,MSFT,2024-05-13,09:17AM,(Associated Press Finance),Microsoft pledges $4.3 billion investment at Macrons Choose France summit,0.0,1.0,0.0,0.0
1,MSFT,2024-05-13,08:25AM,(Barrons.com),"PDD, Intel, Arm, Microsoft, and Other Tech Stocks in Focus Today",0.0,1.0,0.0,0.0
2,MSFT,2024-05-13,08:01AM,(Motley Fool),1 Top Dividend Growth ETF to Buy and Hold for 10 Years,0.0,0.672,0.328,0.5267
3,MSFT,2024-05-13,08:00AM,(GuruFocus.com),Microsoft Corp: An Exploration into Its Intrinsic Value,0.0,0.583,0.417,0.5106
4,MSFT,2024-05-13,07:57AM,(Verdict),Amazon and Microsoft invest in Frances cloud and AI infrastructure,0.0,0.841,0.159,0.1779
5,MSFT,2024-05-13,07:56AM,(Investopedia),5 Things to Know Before the Stock Market Opens,0.0,1.0,0.0,0.0
6,MSFT,2024-05-13,07:51AM,(Insider Monkey),12 Monthly Dividend Stocks with Over 5% Yield,0.0,1.0,0.0,0.0
7,MSFT,2024-05-13,07:15AM,(Yahoo Finance Video),"GameStop surges, Wall Street eyes Inflation data:Yahoo Finance",0.0,1.0,0.0,0.0
8,MSFT,2024-05-13,07:08AM,(MT Newswires),"Market Chatter: European Commission Reportedly Set to Issue Antitrust Charges Against Microsoft Over Teams, Software Bundling",0.123,0.877,0.0,-0.2732
9,MSFT,2024-05-13,07:03AM,(MT Newswires),"Market Chatter: Microsoft to Invest $4.31 Billion in Cloud, AI Infrastructure in France",0.0,1.0,0.0,0.0
10,MSFT,2024-05-13,06:50AM,(InvestorPlace),7 Blue-Chip Stock Beauties to Bet on in May,0.0,0.673,0.327,0.5267
11,MSFT,2024-05-13,06:29AM,(MT Newswires),"Social Buzz: Wallstreetbets Stocks Mostly Higher Premarket Monday; GameStop, AMC Entertainment to Advance",0.0,0.811,0.189,0.4215
12,MSFT,2024-05-13,06:09AM,(InvestorPlace),The 3 Most Undervalued Software Stocks to Buy in May 2024,0.0,1.0,0.0,0.0
13,MSFT,2024-05-13,06:05AM,(Reuters),US STOCKS-Futures edge higher at start of data-heavy week,0.0,1.0,0.0,0.0
14,MSFT,2024-05-13,06:00AM,(InvestorPlace),The 7 Most Undervalued Stocks With Strong Fundamentals to Buy in May 2024,0.0,0.769,0.231,0.5106
15,MSFT,2024-05-13,04:52AM,(DigiTimes),Microsoft to invest 4 billion in French cloud and AI services,0.0,1.0,0.0,0.0
16,MSFT,2024-05-13,03:37AM,(DigiTimes),Taiwan should redefine the value of its supply chain,0.0,0.769,0.231,0.34
17,MSFT,2024-05-13,12:45AM,(Reuters),UPDATE 2-'Choose France' investment push bags record $16 billion in pledges,0.0,1.0,0.0,0.0
18,MSFT,2024-05-13,12:35AM,(Reuters),Microsoft to invest 4 billion euros in France,0.0,1.0,0.0,0.0
19,MSFT,2024-05-12,09:45PM,(Investopedia),Arm Stock in Focus After Reportedly Planning to Launch AI Chips,0.0,1.0,0.0,0.0
20,MSFT,2024-05-12,04:27PM,(Motley Fool),"Prediction: This Artificial Intelligence (AI) Cloud Stock Will Join Microsoft, Alphabet, and Amazon in the $1 Trillion Club",0.0,0.682,0.318,0.7184
21,MSFT,2024-05-12,04:03PM,(Insider Monkey),Billionaire Ken Fisher Loves These 5 AI Stocks,0.0,0.619,0.381,0.5719
22,MSFT,2024-05-12,10:29AM,(Insider Monkey),15 Jobs That Will Be in Demand in 2030,0.158,0.842,0.0,-0.128
23,MSFT,2024-05-12,09:53AM,(Insider Monkey),Jamf Holding Corp. (NASDAQ:JAMF) Q1 2024 Earnings Call Transcript,0.0,1.0,0.0,0.0
24,MSFT,2024-05-12,09:05AM,(Insider Monkey),CSP Inc. (NASDAQ:CSPI) Q2 2024 Earnings Call Transcript,0.0,1.0,0.0,0.0
25,MSFT,2024-05-12,08:30AM,(Yahoo Finance),Here's 1 big investing mistake you are probably still making,0.231,0.769,0.0,-0.34
26,MSFT,2024-05-12,08:00AM,(Motley Fool),"2 Artificial Intelligence (AI) Stocks to Buy Now, and 1 to Avoid Like the Plague",0.124,0.562,0.315,0.5267
27,MSFT,2024-05-12,07:30AM,(Motley Fool),A Once-in-a-Generation Investment Opportunity: 50 Billion Reasons Why Amazon's Story Just Keeps Getting Better.,0.0,0.659,0.341,0.6908
28,MSFT,2024-05-12,07:00AM,(InvestorPlace),AAPL Analysis: Why Apple Stock Dipped in Q2 and What's Ahead for Q3,0.0,1.0,0.0,0.0
29,MSFT,2024-05-12,06:50AM,(InvestorPlace),Why Microsoft Stock Is the Pick of the Magnificent Seven Litter,0.0,0.719,0.281,0.5994
30,MSFT,2024-05-12,06:40AM,(InvestorPlace),GOOG Stock Analysis: Unlocking the Future Potential of Alphabet in 2024,0.0,1.0,0.0,0.0
31,MSFT,2024-05-12,05:25AM,(Motley Fool),Should You Buy the Best-Performing Vanguard Dividend ETF of the Decade?,0.0,1.0,0.0,0.0
32,MSFT,2024-05-12,04:15AM,(Motley Fool),Is It Too Late to Buy Apple Stock?,0.0,1.0,0.0,0.0
33,MSFT,2024-05-12,03:36AM,(Motley Fool),"Got $5,000? 2 Elite Stocks to Buy and Hold Forever",0.0,1.0,0.0,0.0
34,MSFT,2024-05-12,03:17AM,(Motley Fool),Meet the Supercharged Growth Stock That's a Shoo-in to Join Microsoft in the $3 Trillion Club,0.0,0.73,0.27,0.5859
35,MSFT,2024-05-11,06:32PM,(Insider Monkey),20 Best AI Content Detectors in 2024,0.0,0.588,0.412,0.6369
36,MSFT,2024-05-11,12:15PM,(Insider Monkey),"NewLake Capital Partners, Inc. (PNK:NLCP) Q1 2024 Earnings Call Transcript",0.0,1.0,0.0,0.0
37,MSFT,2024-05-11,12:02PM,(Insider Monkey),"LanzaTech Global, Inc. (NASDAQ:LNZA) Q1 2024 Earnings Call Transcript",0.0,1.0,0.0,0.0
38,MSFT,2024-05-11,09:46AM,(InvestorPlace),The 3 Best Mutual Funds to Buy in May 2024,0.0,0.656,0.344,0.6369
39,MSFT,2024-05-11,08:30AM,(Motley Fool),1 Warren Buffett Stock That Could Go Parabolic in 2024,0.0,1.0,0.0,0.0
40,MSFT,2024-05-11,07:10AM,(InvestorPlace),Cloud Computing Kings: 3 Stocks Ruling the Remote Work Era,0.0,1.0,0.0,0.0
41,MSFT,2024-05-11,06:14AM,(InvestorPlace),3 Blue-Chip Tech Stocks Attracting Institutional Investor Attention,0.0,0.659,0.341,0.4767
42,MSFT,2024-05-11,03:52AM,(Motley Fool),How to Invest in the High-Yield Stock Powering Microsoft's AI Future,0.0,1.0,0.0,0.0
43,MSFT,2024-05-10,09:00PM,(Bloomberg),Tech Giants Start to Treat Southeast Asia Like Next Big Thing,0.0,0.634,0.366,0.6369
44,MSFT,2024-05-10,07:39PM,(Insider Monkey),12 Best Marketing Stocks to Buy,0.0,0.543,0.457,0.6369
45,MSFT,2024-05-10,06:43PM,(Investopedia),What To Expect From Google's I/O Developer Conference Tuesday,0.0,1.0,0.0,0.0
46,MSFT,2024-05-10,06:27PM,(Benzinga),"AI Revolution 'On the Doorstep:' The 'Tidal Wave' Is Well Underway, Analyst Says",0.0,0.851,0.149,0.2732
47,MSFT,2024-05-10,05:13PM,(Reuters),Microsoft hit with $242 million US verdict in Cortana patent lawsuit,0.152,0.72,0.128,-0.0772
48,MSFT,2024-05-10,03:48PM,(MT Newswires),Sector Update: Tech Stocks Mixed in Late Afternoon Trading,0.0,1.0,0.0,0.0
49,MSFT,2024-05-10,03:24PM,(Investor's Business Daily),Will OpenAI Search Announcement Steal Thunder From Google I/O?,0.286,0.714,0.0,-0.4939
50,MSFT,2024-05-10,02:53PM,(MT Newswires),OpenAI to Announce ChatGPT Updates on Monday,0.0,1.0,0.0,0.0
51,MSFT,2024-05-10,01:16PM,(Insider Monkey),Brookfield Corporation (NYSE:BN) Q1 2024 Earnings Call Transcript,0.0,1.0,0.0,0.0
52,MSFT,2024-05-10,01:14PM,(Insider Monkey),NuScale Power Corporation (NYSE:SMR) Q1 2024 Earnings Call Transcript,0.0,1.0,0.0,0.0
53,MSFT,2024-05-10,01:07PM,(Insider Monkey),"AvePoint, Inc. (NASDAQ:AVPT) Q1 2024 Earnings Call Transcript",0.0,1.0,0.0,0.0
54,MSFT,2024-05-10,01:01PM,(Insider Monkey),"Shift4 Payments, Inc. (NYSE:FOUR) Q1 2024 Earnings Call Transcript",0.0,1.0,0.0,0.0
55,MSFT,2024-05-10,12:39PM,(Barrons.com),"DigitalOcean Stock Rises After Earnings. AI Demand Will Outstrip Supply, CEO Says.",0.12,0.88,0.0,-0.128
56,MSFT,2024-05-10,12:30PM,(Thomson Reuters StreetEvents),Q1 2024 Applied Optoelectronics Inc Earnings Call,0.0,1.0,0.0,0.0
57,MSFT,2024-05-10,11:37AM,(TechCrunch),Microsoft is launching its mobile game store in July,0.0,1.0,0.0,0.0
58,MSFT,2024-05-10,11:12AM,(Yahoo Finance Video),OpenAI could launch new AI search engine on Monday: Reuters,0.0,1.0,0.0,0.0
59,MSFT,2024-05-10,11:05AM,(Yahoo Finance),"With Apple entering the fight, the AI chip wars have gone nuclear",0.383,0.617,0.0,-0.7351
60,MSFT,2024-05-10,10:29AM,(Yahoo Finance Video),Apple is catching up with the AI revolution: Dan Ives,0.0,1.0,0.0,0.0
61,MSFT,2024-05-10,10:28AM,(Barrons.com),OpenAI May Be Launching a Google Competitor. Alphabet Stock Slips.,0.0,1.0,0.0,0.0
62,MSFT,2024-05-10,10:27AM,(InvestorPlace),The 3 Best Cybersecurity Stocks to Buy in May 2024,0.0,0.656,0.344,0.6369
63,MSFT,2024-05-10,10:15AM,(Motley Fool),Forget Nvidia: 2 Artificial Intelligence (AI) Stocks to Buy Instead,0.158,0.583,0.258,0.296
64,MSFT,2024-05-10,09:53AM,(Hospital Management),Topcon Healthcare and Microsoft partner to advance AI in eye healthcare,0.0,1.0,0.0,0.0
65,MSFT,2024-05-10,09:02AM,(Insider Monkey),16 Biggest Publicly Traded AI Companies in the World,0.0,1.0,0.0,0.0
66,MSFT,2024-05-10,08:46AM,(Insider Monkey),Microsoft Corporation (MSFT) Continues to Execute Well,0.0,0.741,0.259,0.2732
67,MSFT,2024-05-10,08:28AM,(Barrons.com),Alphabet Stock Slips. A New AI Search Rival Could Be Around the Corner.,0.0,1.0,0.0,0.0
68,MSFT,2024-05-10,08:27AM,(MT Newswires),Microsoft President to Testify to Congress on Cybersecurity Breaches,0.0,1.0,0.0,0.0
69,MSFT,2024-05-10,08:15AM,(Motley Fool),Why Isn't Microsoft's Stock Soaring After This Latest Monster News?,0.0,1.0,0.0,0.0
70,MSFT,2024-05-10,08:00AM,(Yahoo Finance Video),How to spot the tech unicorn to invest in: Opening Bid,0.0,1.0,0.0,0.0
71,MSFT,2024-05-10,07:35AM,(Reuters),"RPT-UPDATE 1-OpenAI plans to announce Google search competitor on Monday, sources say",0.0,1.0,0.0,0.0
72,MSFT,2024-05-10,07:09AM,(Fortune),Employees are secretly bringing their own AI tools to work so they can keep up,0.0,1.0,0.0,0.0
73,MSFT,2024-05-10,07:00AM,(Investor's Business Daily),How A Top Fund Beats The Market By Owning Future Leaders,0.0,0.833,0.167,0.2023
74,MSFT,2024-05-10,06:30AM,(InvestorPlace),3 Biotech Stocks to Sell in May Before They Crash & Burn,0.231,0.769,0.0,-0.4019
75,MSFT,2024-05-10,06:27AM,(InvestorPlace),Overlooked AI Gems: 3 Under-the-Radar Stocks With Massive Potential,0.136,0.864,0.0,-0.0258
76,MSFT,2024-05-10,05:30AM,(Motley Fool),"Here's the Best ""Magnificent Seven"" Stock to Buy Right Now, According to Wall Street (Hint: Not Nvidia)",0.0,0.649,0.351,0.8442
77,MSFT,2024-05-10,05:28AM,(MT Newswires),"Phillip Securities Adjusts Price Target on Microsoft to $465 From $450, Keeps Accumulate Rating",0.0,0.855,0.145,0.296
